,var,geo,_param,state_cd,_estimate,_stderror,_lci,_uci,_cv
0,ss_historysteal,state,mean,AZ,2.6575437447813686,0.0614800523077955,2.5369490291285395,2.7781384604341977,0.023134163803897555
1,ss_historysteal,state,mean,CA,2.791593969072669,0.05023279690280054,2.693061036331956,2.890126901813382,0.017994306284981415
2,ss_historysteal,state,mean,CO,2.583455700679906,0.04928459035770434,2.4867826996470184,2.6801287017127935,0.019077002305374843
3,ss_historysteal,state,mean,CT,2.779068493527209,0.11351350184376151,2.5564088183357887,3.0017281687186292,0.040845881311723106
4,ss_historysteal,state,mean,DE,2.989391347197246,0.23176108083497235,2.5347859818218184,3.4439967125726736,0.0775278489556959
5,ss_historysteal,state,mean,FL,2.913094525855074,0.06056600479764114,2.794292738077914,3.0318963136322337,0.020790950743303924
6,ss_historysteal,state,mean,GA,2.9125827477529334,0.09849821170617472,2.719375953237696,3.1057895422681705,0.03381816766653802
7,ss_historysteal,state,mean,HI,2.8299195094485983,0.0674162778020688,2.697680733671211,2.9621582852259856,0.023822683852660058
8,ss_historysteal,state,mean,IL,2.9188316954911273,0.07630616829392374,2.76915516916202,3.0685082218202346,0.02614270922568022
9,ss_historysteal,state,mean,IN,2.7882396856382776,0.06735239352206313,2.65612622053147,2.9203531507450853,0.02415588368137188
10,ss_historysteal,state,mean,KY,2.851329011683129,0.07584116791929098,2.702564595637802,3.000093427728456,0.026598532687226516
11,ss_historysteal,state,mean,LA,2.8764358677895965,0.11213610940304117,2.656477983561193,3.096393752018,0.038984394075579513
12,ss_historysteal,state,mean,MA,2.794972877502311,0.1012083040278323,2.5964501666751127,2.993495588329509,0.03621083583404062
13,ss_historysteal,state,mean,MD,2.663607150316806,0.06909211836009863,2.5280811698610086,2.7991331307726033,0.025939305032981648
14,ss_historysteal,state,mean,MN,2.6670875703376438,0.08116747555028025,2.507875463860583,2.8262996768147044,0.030432999820851306
15,ss_historysteal,state,mean,NC,2.8573292109334316,0.0743422227613652,2.711505014655555,3.0031534072113084,0.026018080967673694
16,ss_historysteal,state,mean,NH,2.505930510817423,0.1407033683946998,2.229937207851372,2.7819238137834734,0.056148152467644846
17,ss_historysteal,state,mean,NJ,2.6851792248138597,0.09253664314013162,2.5036662015151387,2.8666922481125807,0.03446199876901937
18,ss_historysteal,state,mean,NM,2.8200423307764013,0.12475277452837757,2.5753365309857337,3.064748130567069,0.044237908476370706
19,ss_historysteal,state,mean,NY,2.9254758855669554,0.0977222787629687,2.7337911036255385,3.1171606675083723,0.033403891395956654
20,ss_historysteal,state,mean,OR,2.6319872467185172,0.07259975702977539,2.489580942123358,2.7743935513136764,0.02758362796791306
21,ss_historysteal,state,mean,PA,2.887592082058945,0.07260376559953868,2.7451779145503266,3.0300062495675637,0.025143359427613435
22,ss_historysteal,state,mean,RI,2.8387344218530703,0.23951486561221527,2.368919806723535,3.3085490369826056,0.08437381946278182
23,ss_historysteal,state,mean,TX,2.9356791723993285,0.09456853401690492,2.750180542496122,3.121177802302535,0.03221351123992685
24,ss_historysteal,state,mean,VA,2.7168680674981087,0.11616962921390662,2.488998329645441,2.9447378053507762,0.04275865677971037
25,ss_historysteal,state,mean,WA,2.578420437792356,0.03787847497898223,2.504120827626378,2.652720047958334,0.014690573509188357
26,ss_historysteal,state,mean,WI,2.637441036210146,0.09442361525098163,2.452226668221386,2.822655404198906,0.03580122321394644
