,var,geo,_param,state_cd,_estimate,_stderror,_lci,_uci,_cv
0,ss_historyhighrisk,state,mean,AZ,2.7755925793061866,0.08568212227228839,2.607524876301852,2.943660282310521,0.030869848446455458
1,ss_historyhighrisk,state,mean,CA,2.8968799347169725,0.05432666293318367,2.79031677767874,3.003443091755205,0.018753508656716704
2,ss_historyhighrisk,state,mean,CO,2.6535661971320654,0.04259206788471738,2.5700207523444036,2.7371116419197272,0.0160508782222016
3,ss_historyhighrisk,state,mean,CT,2.817334401351399,0.10261371202807891,2.616054946315243,3.018613856387555,0.036422269212649336
4,ss_historyhighrisk,state,mean,DE,3.0153313860375985,0.10147887459634065,2.816277944029335,3.214384828045862,0.033654302497641064
5,ss_historyhighrisk,state,mean,FL,2.9316304734121554,0.05624513059330437,2.821304192347887,3.041956754476424,0.01918561397945904
6,ss_historyhighrisk,state,mean,GA,2.844504288800336,0.07622676267736643,2.694983518645638,2.9940250589550335,0.02679790745174616
7,ss_historyhighrisk,state,mean,HI,2.990179733979639,0.1571406765478392,2.681944225153031,3.2984152428062474,0.05255225121156854
8,ss_historyhighrisk,state,mean,IL,3.020641333186802,0.0698976773240095,2.883535227949912,3.157747438423692,0.023140012207363548
9,ss_historyhighrisk,state,mean,IN,2.8266504049537504,0.0521865838310351,2.724285068527415,2.929015741380086,0.0184623410590773
10,ss_historyhighrisk,state,mean,KY,2.9042034656135414,0.1069108677869757,2.694495028209809,3.1139119030172737,0.03681245789175096
11,ss_historyhighrisk,state,mean,LA,2.8532232822405765,0.09433330531204603,2.6681860595371205,3.0382605049440325,0.033062013021977046
12,ss_historyhighrisk,state,mean,MA,2.964704826742212,0.12112049436453423,2.7271238386113836,3.20228581487304,0.040854149550405124
13,ss_historyhighrisk,state,mean,MD,2.839869381914534,0.061261667313705706,2.719703034086333,2.960035729742735,0.021572001763125237
14,ss_historyhighrisk,state,mean,MN,2.878997920115931,0.06804517296323404,2.7455255501841918,3.0124702900476703,0.023635019840686097
15,ss_historyhighrisk,state,mean,NC,2.9681288714669094,0.07904745193064996,2.8130752462531152,3.1231824966807036,0.02663208214796385
16,ss_historyhighrisk,state,mean,NH,2.577818204108647,0.09892595523191097,2.3837723795841272,2.771864028633167,0.038375846316174723
17,ss_historyhighrisk,state,mean,NJ,2.8311500755604038,0.053032092925656436,2.7271262511364123,2.9351738999843953,0.018731643152177
18,ss_historyhighrisk,state,mean,NM,2.9910319457665606,0.08663742401313755,2.8210903936440825,3.1609734978890387,0.02896573008381345
19,ss_historyhighrisk,state,mean,NY,2.9705986995859854,0.09788552731151316,2.7785937013865554,3.1626036977854155,0.03295144757356675
20,ss_historyhighrisk,state,mean,OR,2.6986761566445505,0.0695857526564412,2.5621818997255863,2.8351704135635147,0.02578514375839817
21,ss_historyhighrisk,state,mean,PA,2.9445327130632886,0.07501555904946207,2.7973877502090394,3.0916776759175377,0.025476218592056687
22,ss_historyhighrisk,state,mean,RI,2.8657621563460514,0.2952820893579359,2.28655868681715,3.4449656258749526,0.10303789123045404
23,ss_historyhighrisk,state,mean,TX,2.9911885000688008,0.08854588609673272,2.8175034501179033,3.1648735500196983,0.029602242083605252
24,ss_historyhighrisk,state,mean,VA,2.8688401900646574,0.06645957170045459,2.738478018095443,2.9992023620338717,0.02316600692175772
25,ss_historyhighrisk,state,mean,WA,2.7322885260065983,0.06987883108699824,2.5952193881519436,2.869357663861253,0.025575202041026868
26,ss_historyhighrisk,state,mean,WI,2.7105534070296344,0.08791009287281022,2.5381154819619276,2.8829913320973413,0.032432525640270146
