,var,geo,_param,state_cd,_estimate,_stderror,_lci,_uci,_cv
0,ss_f_trust,state,mean,AZ,3.626035207409429,0.0849610979560526,3.459381812284338,3.79268860253452,0.023430853010594974
1,ss_f_trust,state,mean,CA,3.388797596374798,0.07919148959903255,3.233461437542214,3.5441337552073815,0.023368610059139705
2,ss_f_trust,state,mean,CO,3.3804505451965476,0.09769264324047626,3.1888238941004055,3.57207719629269,0.028899296686736818
3,ss_f_trust,state,mean,CT,3.539839761720959,0.0666851965262474,3.409035020809635,3.6706445026322827,0.018838478862056498
4,ss_f_trust,state,mean,DE,3.6631423405754924,0.11100242781980875,3.4454082021481875,3.880876479002797,0.03030251557256437
5,ss_f_trust,state,mean,FL,3.5371741690054885,0.08831977496832884,3.363932641891873,3.710415696119104,0.024969020678210146
6,ss_f_trust,state,mean,GA,3.4497732325462143,0.0801616419960783,3.2925340946485524,3.607012370443876,0.02323678589647832
7,ss_f_trust,state,mean,HI,3.630591566615313,0.14376045302116947,3.3486017129402605,3.912581420290365,0.03959697762290371
8,ss_f_trust,state,mean,IL,3.6680512843812925,0.05839673362132615,3.5535045782259225,3.7825979905366625,0.015920369998637083
9,ss_f_trust,state,mean,IN,3.5260488499210934,0.0664152915574921,3.3957735345996727,3.656324165242514,0.01883561300036395
10,ss_f_trust,state,mean,KY,3.604639155091296,0.07468410414536147,3.4581443496199915,3.7511339605626004,0.020718885006804494
11,ss_f_trust,state,mean,LA,3.233332062716261,0.11291670479624595,3.011843020397553,3.454821105034969,0.03492270592875226
12,ss_f_trust,state,mean,MA,3.428716522728636,0.05236537053009962,3.3260004915594226,3.5314325538978495,0.01527258674870744
13,ss_f_trust,state,mean,MD,3.48023111067942,0.06742467552538393,3.3479758625501512,3.612486358808689,0.01937362013645729
14,ss_f_trust,state,mean,MN,3.6166655951404993,0.059896195240488115,3.4991776561655823,3.7341535341154164,0.016561164880979626
15,ss_f_trust,state,mean,NC,3.459890411492,0.05162831303740105,3.3586201376931086,3.5611606852908917,0.014921950379098133
16,ss_f_trust,state,mean,NH,3.6221147200845323,0.14844635724467023,3.3309333438554596,3.913296096313605,0.04098333948992257
17,ss_f_trust,state,mean,NJ,3.575410841912421,0.1042886027438383,3.37084604533808,3.7799756384867615,0.029168285088058934
18,ss_f_trust,state,mean,NM,3.664394135695006,0.15430252021407032,3.361725744058468,3.967062527331544,0.04210860363272702
19,ss_f_trust,state,mean,NY,3.6510743195358097,0.10273195829041139,3.44956292139213,3.8525857176794895,0.028137460182807925
20,ss_f_trust,state,mean,OR,3.671383706618379,0.09112609500584161,3.4926375100347316,3.8501299032020264,0.024820640469033296
21,ss_f_trust,state,mean,PA,3.602589849995911,0.061271555040025155,3.4824041071363268,3.7227755928554953,0.01700764105580731
22,ss_f_trust,state,mean,RI,3.407042240936597,0.1466975720522354,3.1192911521764377,3.6947933296967563,0.043057162687806357
23,ss_f_trust,state,mean,TX,3.442847654778841,0.07738213848207073,3.2910605850454946,3.5946347245121872,0.0224762017496361
24,ss_f_trust,state,mean,VA,3.474771256042376,0.08676192261994757,3.3045854966766726,3.644957015408079,0.0249691033529401
25,ss_f_trust,state,mean,WA,3.5203895397302056,0.08038995769654833,3.3627025546700295,3.6780765247903817,0.02283552907690699
26,ss_f_trust,state,mean,WI,3.38533931163278,0.07391949011656095,3.2403443163913974,3.530334306874163,0.021835179080146296
