,var,geo,_param,state_cd,_estimate,_stderror,_lci,_uci,_cv
0,ss_d_currentmarry,state,mean,AZ,3.9084750499061522,0.06929211676109058,3.7725567674045157,4.044393332407789,0.017728683406269763
1,ss_d_currentmarry,state,mean,CA,3.9516330516266525,0.09948881961252963,3.7564831540347905,4.146782949218514,0.02517663414409797
2,ss_d_currentmarry,state,mean,CO,3.9595511865678557,0.052405012428750286,3.856757396787251,4.06234497634846,0.013235089018807463
3,ss_d_currentmarry,state,mean,CT,4.183250743761488,0.07857869297693498,4.029116601381735,4.337384886141241,0.01878412215526883
4,ss_d_currentmarry,state,mean,DE,4.30153524069095,0.10397997994574813,4.097575815731997,4.505494665649904,0.024172760218755283
5,ss_d_currentmarry,state,mean,FL,3.9302808217140335,0.06359641032532586,3.8055348149714394,4.0550268284566275,0.01618113646586476
6,ss_d_currentmarry,state,mean,GA,3.872281243228107,0.07819073712546938,3.7189080863035895,4.025654400152625,0.02019242204119608
7,ss_d_currentmarry,state,mean,HI,4.11673300824478,0.1375358761093259,3.8469528234715185,4.386513193018041,0.033408986163026885
8,ss_d_currentmarry,state,mean,IL,4.108147628186254,0.07135157564809344,3.9681896637137335,4.248105592658774,0.017368308567721834
9,ss_d_currentmarry,state,mean,IN,3.803215434907804,0.06408289427493893,3.6775151772924297,3.928915692523178,0.01684966191679657
10,ss_d_currentmarry,state,mean,KY,3.836685066096171,0.09353014966583821,3.653223254003859,4.020146878188483,0.024377854333768705
11,ss_d_currentmarry,state,mean,LA,3.805892513462468,0.06914109658545135,3.6702704609485335,3.941514565976403,0.01816685477608226
12,ss_d_currentmarry,state,mean,MA,4.036286081999194,0.0701320000138815,3.8987203467344265,4.1738518172639605,0.01737537889760895
13,ss_d_currentmarry,state,mean,MD,3.8871268766275304,0.06492084369898715,3.7597829595042134,4.0144707937508475,0.01670149849991839
14,ss_d_currentmarry,state,mean,MN,4.104002254195553,0.056819068664628596,3.9925501787326856,4.21545432965842,0.013844794701694432
15,ss_d_currentmarry,state,mean,NC,3.8615915738461104,0.08331662693705243,3.6981638512357855,4.025019296456435,0.021575722171485325
16,ss_d_currentmarry,state,mean,NH,4.048361126307126,0.14315755109989964,3.7675538803728434,4.329168372241409,0.03536185301494743
17,ss_d_currentmarry,state,mean,NJ,4.042021570000707,0.06632441229482157,3.911924516707849,4.172118623293565,0.016408722998182804
18,ss_d_currentmarry,state,mean,NM,4.012498544140032,0.0884342467432825,3.839032477673689,4.185964610606374,0.022039695658565266
19,ss_d_currentmarry,state,mean,NY,4.08923704545206,0.09888528313021193,3.8952710003089046,4.283203090595214,0.024181841754610314
20,ss_d_currentmarry,state,mean,OR,4.148714142290126,0.08386074197370699,3.984219123936472,4.313209160643781,0.020213670814016396
21,ss_d_currentmarry,state,mean,PA,3.988120731477144,0.07345158028412772,3.844043553496406,4.132197909457882,0.01841759195111485
22,ss_d_currentmarry,state,mean,RI,3.5447710715749285,0.14808337931879179,3.254301685952832,3.835240457197025,0.04177516018065418
23,ss_d_currentmarry,state,mean,TX,4.086402764517118,0.06485537502118345,3.9591872659017158,4.21361826313252,0.015871018780706823
24,ss_d_currentmarry,state,mean,VA,4.06892064935581,0.07213726639375456,3.927421532127113,4.210419766584508,0.017728845708793878
25,ss_d_currentmarry,state,mean,WA,4.071192726593335,0.08588009524713501,3.902736694469027,4.239648758717642,0.021094578668840663
26,ss_d_currentmarry,state,mean,WI,3.8855377228522157,0.07309615863894026,3.742157713638083,4.028917732066348,0.018812366229012785
