,var,geo,_param,state_cd,_estimate,_stderror,_lci,_uci,_cv
0,ss_currenthighrisk,state,mean,AZ,4.034629546764385,0.08370947502854843,3.8704312424432388,4.198827851085531,0.020747747484197197
1,ss_currenthighrisk,state,mean,CA,3.844915129739776,0.08844427390611304,3.671429394733721,4.018400864745831,0.023002919680075992
2,ss_currenthighrisk,state,mean,CO,3.9398828823074696,0.06464660626859992,3.813076889009808,4.066688875605131,0.01640825582884798
3,ss_currenthighrisk,state,mean,CT,3.9243139653217867,0.10886781530177735,3.7107669246599846,4.137861005983589,0.02774187189501551
4,ss_currenthighrisk,state,mean,DE,4.21822030462335,0.06768766283440682,4.085449200072992,4.350991409173709,0.016046497799135393
5,ss_currenthighrisk,state,mean,FL,3.927081822790443,0.07050710732717454,3.7887803048109934,4.065383340769893,0.017954071371264355
6,ss_currenthighrisk,state,mean,GA,3.8501438321132553,0.0806220903130649,3.6920015129108372,4.008286151315673,0.020940020380696606
7,ss_currenthighrisk,state,mean,HI,3.931836288969715,0.09589991342095995,3.743726123867185,4.119946454072244,0.024390617099189865
8,ss_currenthighrisk,state,mean,IL,3.98295654104901,0.05069640772221157,3.8835142236730897,4.082398858424931,0.012728335647081757
9,ss_currenthighrisk,state,mean,IN,3.891909388007748,0.06068820498754252,3.7728679013916855,4.010950874623811,0.015593427014139339
10,ss_currenthighrisk,state,mean,KY,4.0541167812997845,0.09424510947838598,3.869252557009354,4.238981005590214,0.023246767313932725
11,ss_currenthighrisk,state,mean,LA,3.768552743775458,0.07314802913006553,3.6250709892489317,3.912034498301984,0.01941011154769814
12,ss_currenthighrisk,state,mean,MA,3.9809735101062746,0.05160258096129255,3.879753710441431,4.082193309771118,0.012962302017406536
13,ss_currenthighrisk,state,mean,MD,3.978383778201399,0.04652330940898605,3.8871271012988347,4.069640455103963,0.011694022498256549
14,ss_currenthighrisk,state,mean,MN,4.008870889622484,0.0639232784065078,3.8834837226689523,4.134258056576016,0.01594545700436051
15,ss_currenthighrisk,state,mean,NC,3.867492596271643,0.10229225904856341,3.6668436795841917,4.0681415129590945,0.02644924495710105
16,ss_currenthighrisk,state,mean,NH,4.071235493836163,0.12838459486411444,3.819405784350402,4.3230652033219235,0.0315345538371554
17,ss_currenthighrisk,state,mean,NJ,3.990397721366963,0.07588477273838044,3.8415477733391183,4.139247669394807,0.01901684444436409
18,ss_currenthighrisk,state,mean,NM,3.9700002400569727,0.08083976904509639,3.8114309383812546,4.128569541732691,0.020362660996699655
19,ss_currenthighrisk,state,mean,NY,4.029326437460582,0.10692377256755066,3.8195926869953674,4.239060187925796,0.0265363887059341
20,ss_currenthighrisk,state,mean,OR,3.9795912519515895,0.054906531121338115,3.8718906684369365,4.087291835466242,0.01379702779636275
21,ss_currenthighrisk,state,mean,PA,3.929135904784002,0.054313988431126385,3.8225976091099723,4.035674200458032,0.013823392661219798
22,ss_currenthighrisk,state,mean,RI,3.93275040568538,0.09185461451918973,3.75257519919914,4.11292561217162,0.023356329551552552
23,ss_currenthighrisk,state,mean,TX,3.9314232921028722,0.06024793450830237,3.813245407439984,4.04960117676576,0.015324713222644733
24,ss_currenthighrisk,state,mean,VA,3.9244446808833837,0.060799230149049165,3.8051854155361777,4.04370394623059,0.015492441630076282
25,ss_currenthighrisk,state,mean,WA,3.8374562135760635,0.08902505974838591,3.6628312520912565,4.01208117506087,0.023198977341665847
26,ss_currenthighrisk,state,mean,WI,3.9170161961013443,0.04231576028104176,3.8340127358378853,4.000019656364803,0.010803059819655372
